tweets,id,date,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
President John Dramani Mahama #RescueMission @JDMahama @KokuNanegbe @Id_abdulrazak @BigDaddyCee7 @OfficialNDCGh @NDCChangeAgenda @NPP_GH,1232429686334148608,2020-02-25 22:18:29+00:00,3.0,0.0,president john dramani mahama rescuemission USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232429501788884993,2020-02-25 22:17:45+00:00,1.0,0.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
But this happened under the NDC government superintended by the INCOMPETENT John Dramani Mahama alias Dead Goat.,1232420625714679810,2020-02-25 21:42:29+00:00,1.0,1.0,happened ndc government superintended incompetent john dramani mahama alias dead goat,0.726,0.0,0.549,0.38333333333333336
"A new nation shall be discovered, it is sacred and the god king is on his way to lead his people to the promise land, He is the divine promise, John Dramani Mahama the descendant of the preseved History, not the mirage we are seeing today. So pray and keep vigil",1232364704787464193,2020-02-25 18:00:16+00:00,0.0,0.0,new nation shall discovered sacred god king way lead people promise land divine promise john dramani mahama descendant preseved history mirage seeing today pray keep vigil,0.0,0.5113636363636364,0.625,0.45454545454545453
Live scenes from the Bono Region... John Dramani Mahama cares and he wants to hear from you. #SpeakOut,1232363463512666112,2020-02-25 17:55:20+00:00,8.0,4.0,live scenes bono region john dramani mahama cares wants hear speakout,0.0,0.3991818181818182,0.769,0.3
"*John Mahama tours Ahafo Region* The Flagbearer of the National Democratic Congress (NDC), John Dramani Mahama, on Tuesday began a three-day working visit of the Ahafo Region. The tour, which started from the Western North Region, has been dubbed #SpeakOut. @JDMahama",1232356755931357190,2020-02-25 17:28:41+00:00,5.0,2.0,mahama tours ahafo flagbearer national democratic congress ndc john dramani mahama tuesday began threeday working visit ahafo region tour started western north region dubbed speakout USER_MENTION,0.0,0.0,1.0,0.0
"*John Mahama tours Ahafo Region* The Flagbearer of the National Democratic Congress (NDC), John Dramani Mahama, on Tuesday began a three-day working visit of the Ahafo Region. The tour, which started from the Western North Region, has been dubbed #SpeakOut.",1232296774037049344,2020-02-25 13:30:20+00:00,23.0,10.0,mahama tours ahafo flagbearer national democratic congress ndc john dramani mahama tuesday began threeday working visit ahafo region tour started western north region dubbed speakout,0.0,0.0,1.0,0.0
John Dramani Mahama will be winning upcoming election 2020 ,1232235585663836160,2020-02-25 09:27:12+00:00,0.0,0.0,john dramani mahama winning upcoming election,0.0,0.905,0.595,0.75
Wining 2020 election is starting from today. Voting John Dramani Mahama is a vote for development,1232207634213855232,2020-02-25 07:36:07+00:00,0.0,0.0,wining election starting today voting john dramani mahama vote development,0.0,0.0,1.0,0.1
"And Former President J.A.Kuffour said unto the flag bearer of NDC (JOHN DRAMANI MAHAMA) worry not, you will surely win this year's election. #Am4JM #RescueMission",1232199898096902150,2020-02-25 07:05:23+00:00,10.0,0.0,former president j.a.kuffour said unto flag bearer ndc john dramani mahama worry surely win years election am4jm rescuemission,0.118,0.672,0.61,0.2
Rich but greedy John Dramani Mahama,1232078199934324740,2020-02-24 23:01:48+00:00,0.0,0.0,rich greedy john dramani mahama,0.258,0.779,0.337,0.75
Voting against #GalamseyKing and #CorruptionKing President Akufo Addo @NAkufoAddo and Voting for #InfrastructureKing John Dramani Mahama @JDMahama #GO4JM2020,1231990161979904004,2020-02-24 17:11:58+00:00,6.0,0.0,voting galamseyking corruptionking president akufo addo USER_MENTION voting infrastructureking john dramani mahama USER_MENTION go4jm2020,0.0,0.0,1.0,0.0
"AG mischievously release GETFUND 2014 auditors report in 2020 just to cover John Dramani Mahama Airbus saga but it’s a lie, Government Official One must speak now",1231914655137849345,2020-02-24 12:11:56+00:00,15.0,3.0,ag mischievously release getfund auditors report cover john dramani mahama airbus saga lie government official one must speak,0.0,0.0,1.0,0.0
Thank u our incoming president John Dramani Mahama. May the good Lord be with u and your team. Victory is assured! ,1231839428659830784,2020-02-24 07:13:00+00:00,4.0,0.0,thank u incoming president john dramani mahama may good lord u team victory assured,0.0,1.1179999999999999,0.582,0.6000000000000001
Let us all come together and support the victory of NDC and John Dramani Mahama in 7 Dec,1231686456277635082,2020-02-23 21:05:09+00:00,0.0,0.0,let us come together support victory ndc john dramani mahama dec,0.0,0.213,0.787,0.0
"Information Minister, Kojo Oppong Nkrumah, has alleged that former President John Dramani Mahama together with former Finance Minister... ",1231588544579112960,2020-02-23 14:36:05+00:00,0.0,0.0,information minister kojo oppong nkrumah alleged former president john dramani mahama together former finance minister,0.03333333333333333,0.0,1.0,0.03333333333333333
"Both Mills and John Dramani Mahama [@JDMahama] added 56% to our electricity generation capacity... If @officeofJJR’s 17% is added, it means the NDC added 73% to our power generation. Sadly, [@NAkufoAddo] is in his fourth year but yet to add a single megawatt to our power",1231484473738452993,2020-02-23 07:42:33+00:00,5.0,3.0,mills john dramani mahama added electricity generation capacity USER_MENTION added means ndc added power generation sadly fourth year yet add single megawatt power,0.14871428571428572,0.0,0.887,0.10714285714285714
Salam Mustapha writes: The tale of two presidents running for the same office: Nana Addo Dankwa Akufo-Addo; give me 4 more to do more. John Dramani Mahama; give me another 4yrs to correct my mistakes. Real incompetent,1231347817207271425,2020-02-22 22:39:31+00:00,0.0,0.0,salam mustapha writes tale two presidents running office nana addo dankwa akufoaddo give john dramani mahama give another correct mistakes real incompetent,0.7439999999999999,0.0,0.781,0.55
Salam Mustapha writes: The tale of two presidents running for the same office: Nana Addo Dankwa Akufo-Addo; give me 4 more to do more. John Dramani Mahama; give me another 4yrs to correct my mistakes.,1231300056608903168,2020-02-22 19:29:44+00:00,26.0,9.0,salam mustapha writes tale two presidents running office nana addo dankwa akufoaddo give john dramani mahama give another correct mistakes,0.116,0.0,0.884,0.0
"Eeeii, Former President John Dramani Mahama 3nti wo “running mate” no nso ay3 boakye bi din? Asem paaa ni. ",1231297231640240128,2020-02-22 19:18:31+00:00,0.0,0.0,eeii former president john dramani mahama wo nso ay3 boakye bi din asem paa ni,0.0,0.0,1.0,0.0
"Eeeii, Former President John Dramani Mahama 3nti wo “running mate” no nso ay3 boakye bi din? Asem paaa ni. #",1231297058994257921,2020-02-22 19:17:49+00:00,0.0,0.0,eeii former president john dramani mahama wo nso ay3 boakye bi din asem paa ni,0.0,0.0,1.0,0.0
"""We now know why Jean Mensah and Bossman was brought to EC"" English from the over 100 NDC MP's. A communication expert, John Dramani Mahama is their leader. #FreeSHSisHere to stay",1231276113118334976,2020-02-22 17:54:36+00:00,3.0,1.0,know jean mensah bossman brought ec english ndc mps communication expert john dramani mahama leader freeshsishere stay,0.0,0.0,1.0,0.0
Some people think Ghana is for them. God never sleeps and would shame the arrogant npp members. Mahama is coming again and to continue his good work. Fellow Ghanaians Mahama was there before and he knows system so let us vote for John Dramani Mahama again! ,1231249935913406466,2020-02-22 16:10:34+00:00,2.0,0.0,people think ghana god never sleeps would shame arrogant npp members mahama coming continue good work fellow ghanaians mahama knows system let us vote john dramani mahama,0.095,0.9239999999999999,0.681,0.6000000000000001
"“Roads in Ghana are in the most terrible state. When you vote for me, I will fix them.”- John Dramani Mahama When you drink alcohol don’t talk",1231238503108947968,2020-02-22 15:25:09+00:00,5.0,1.0,ghana terrible state vote fix john dramani mahama drink alcohol talk,1.237,0.0,0.763,1.0
De vision of JOHN DRAMANI MAHAMA ....NPP toilet ,1231217207209865217,2020-02-22 14:00:31+00:00,6.0,1.0,de vision john dramani mahama npp toilet,0.03333333333333333,0.25,0.75,0.0
De vision John Dramani mahama ....not toilet,1231216910966173702,2020-02-22 13:59:21+00:00,3.0,2.0,de vision john dramani mahama toilet,0.03333333333333333,0.286,0.714,0.0
"President Nana Addo Dankwa Akufo-Addo is taunting his predecessor, John Dramani Mahama, for having ‘no policy’ to campaign on as the 2020 general election gathers momentum. He said Mr. Mahama, who is staging a comeback on the… https://pemsantv.com/visionless-mahama-has-no-policy-akufo-addo-mocks/",1231191504279961601,2020-02-22 12:18:23+00:00,0.0,0.0,president nana addo dankwa akufoaddo taunting predecessor john dramani mahama campaign general election gathers momentum said mr mahama staging comeback URL,0.0,0.05000000000000002,1.0,0.5
John Dramani mahama,1231049880329768966,2020-02-22 02:55:37+00:00,2.0,0.0,john dramani mahama,0.0,0.0,1.0,0.0
"How did a public servant acquire these expensive vehicles . John Dramani Mahama why did you do that . Ghana properties sharing to friends .,what is about a teacher who has been in the classroom for 50 years . Batidam himself is corrupt and thief.",1230894132333367299,2020-02-21 16:36:44+00:00,1.0,0.0,public servant acquire expensive vehicles john dramani mahama ghana properties sharing friends teacher classroom years batidam corrupt thief,0.47333333333333333,0.243,0.617,0.5888888888888889
"The National Youth Organizer of the ruling New Patriotic Party (NPP), Henry Nana Boakye, aka Nana B, has called on former President John Dramani Mahama to apologize for making what he called ‘irresponsible’ comments over the… https://pemsantv.com/nana-b-chides-mahama/",1230883532488265730,2020-02-21 15:54:37+00:00,0.0,0.0,national youth organizer ruling new patriotic party npp henry nana boakye aka nana b called former president john dramani mahama apologize making called comments URL,0.0,0.21918181818181817,0.849,0.22727272727272727
"His Excellency John Dramani Mahama, former President of the Republic of ... https://youtu.be/vg9No6lkUcU via @YouTube",1230863117862817793,2020-02-21 14:33:30+00:00,0.0,0.0,excellency john dramani mahama former president republic URL via USER_MENTION,0.0,0.28,0.72,0.0
JOHN DRAMANI MAHAMA’s CV ON CORRUPTION — ABRONYE DC http://breakingnewsgh.com/john-dramani-mahamas-cv-on-corruption-abronye-dc/,1230846116054405121,2020-02-21 13:25:56+00:00,0.0,0.0,john dramani cv corruption abronye dc URL,0.0,0.0,1.0,0.0
"Ghanaians, DO YOU NOW HAVE MONEY IN YOUR POCKETS for trying the NPP for 4 years? The ultimate is to vote for President John Dramani Mahama as President of the Republic of Ghana in 2020 General Elections.",1230841439044677634,2020-02-21 13:07:21+00:00,0.0,0.0,ghanaians money pockets trying npp years ultimate vote president john dramani mahama president republic ghana general elections,0.0,0.02500000000000001,1.0,0.75
