tweets,id,date,source,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.2490697234401075e+18,Sat Apr 11 20:20:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.2490695184140575e+18,Sat Apr 11 20:19:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11.0,4.0,ah akuffo addo ein water people dey take show god created men women ei,0.0,0.255,0.745,0.0
Aye so Akuffo Addo say he go pay water bills so we Dey waste water 😂😂😂 https://t.co/3MFijlBTvt,1.2490667714217697e+18,Sat Apr 11 20:08:19 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3.0,0.0,aye akuffo addo say go pay water bills dey waste water URL,0.496,0.0,0.704,0.0
"RT @walk_in_online: Hello Guys👋. Casual outfits restocked in all sizes. Price ranges from Gh35 to Gh85.
Accra Branch - 0540306824
Kumasi Br…",1.2490666997579653e+18,Sat Apr 11 20:08:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,25.0,USER_MENTION hello casual outfits restocked sizes price ranges gh35 gh85 accra branch kumasi,0.5000000000000001,0.13,0.87,0.8666666666666667
@Original_KW Akuffo Addo in free three months water you dey waste soo ...,1.2490655758732288e+18,Sat Apr 11 20:03:34 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2.0,0.0,USER_MENTION akuffo addo free three months water dey waste soo,0.199,0.334,0.567,0.4
"RT @AmankwaRapheal: Ghana de3..😏..Akuffo Addo(Mr. President) has provide Free s.h.s, free water, free light bill yet still people are still…",1.2490630950556385e+18,Sat Apr 11 19:53:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,1.0,USER_MENTION ghana de3 akuffo president provide free s.h.s free water free light bill yet still people,0.0,0.8320000000000001,0.568,0.7750000000000001
"Ghana de3..😏..Akuffo Addo(Mr. President) has provide Free s.h.s, free water, free light bill yet still people are still Complaining..🤗",1.2490627388417352e+18,Sat Apr 11 19:52:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0,1.0,ghana de3 akuffo president provide free s.h.s free water free light bill yet still people still complaining,0.073,0.801,0.526,0.7750000000000001
@Original_KW Akuffo addo’s water you dey waste um like that,1.2490603999678546e+18,Sat Apr 11 19:43:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION akuffo water dey waste um like,0.47200000000000003,0.243,0.485,0.0
"My fellow Ghanaians, Akuffo Addo no give us free water make we take do parody of Gods creation.",1.2490582331484774e+18,Sat Apr 11 19:34:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4.0,0.0,fellow ghanaians akuffo addo give us free water make take parody gods creation,0.0,0.7290000000000001,0.671,0.8
"@officeofJJR in the 2020 elections and campaign,kyere akuffo addo maafia,kyere akuffo addo hardcore",1.24905788235776e+18,Sat Apr 11 19:33:00 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,USER_MENTION elections akuffo addo akuffo addo hardcore,0.0,0.0,1.0,0.0
"@JDMahama in the 2020 elections and campaign,kyere akuffo addo hardcore,kyere akuffo addo maafia",1.249057606691414e+18,Sat Apr 11 19:31:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,USER_MENTION elections akuffo addo akuffo addo maafia,0.0,0.0,1.0,0.0
Smh Akuffo Addo should have never given you niggas free water.,1.2490540204943852e+18,Sat Apr 11 19:17:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,smh akuffo addo never given niggas free water,0.416,0.5690000000000001,0.415,0.8
RT @Kofi_Seven: Is your president guy like ours? Nana Akuffo Addo y3 preman! Papa yi y3 guy!!!!!! 😃❤️🔥🔥🔥🔥🔥 https://t.co/e6eGvLqZhK,1.2490513716947436e+18,Sat Apr 11 19:07:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,17.0,USER_MENTION president guy like nana akuffo addo y3 preman papa yi y3 guy URL,0.0,0.161,0.839,0.0
